source_id,source_name,author,title,description,content
,Israelnationalnews.com,,UK study to show 'very little evidence' of virus transmission in schools,"The results of a large study &#111n the transmission of coronavirus in schools is expected to show that ""there is very little evidence that the [corona]virus is transmitted there,"" according to Professor Russell Viner, president of the Royal College of Pediat…","The results of a large study on the transmission of coronavirus in schools is expected to show that ""there is very little evidence that the [corona]virus is transmitted there,"" according to Professor… [+235 chars]"
,Wonkette.com,Robyn Pennacchia,Crowded Georgia School Now A Veritable Coronafest,"Last week, North Paulding High School in Georgia made the news after several pictures of its crowded hallways went viral. The first thing the school district did in response was to immediately suspend Hannah Watters, the concerned student who posted them. Sur…","Last week, North Paulding High School in Georgia made the news after several pictures of its crowded hallways went viral. The first thing the school district did in response was to immediately suspen… [+4273 chars]"
,Seeking Alpha,Stefan Redlich,STORE Capital: The Tide Is Turning,STORE Capital can only do well if its tenants do well. 5 months into the pandemic STORE Capital has been navigating through an unprecedented period that has seen rent collections collapse and recover.,"The corona pandemic has badly hit former high-flying REIT STORE Capital (STOR) and exposed probably its only real flaw, namely that STORE Capital can only do well if its tenants do well.
Data by YCh… [+9095 chars]"
the-hindu,The Hindu,Tharun Boda,"Providing medical facilities alone is our concern, says Ramesh Hospitals MD",‘Maintenance is the lookout of the hotel management’,"The responsibility of maintaining Hotel Swarna Palace rests with the hotel management while providing medical facilities is our concern, says P. Ramesh, managing director and chief cardiologist of Ra… [+1524 chars]"
,Freerepublic.com,,I am thinking about ordering some custom T-shirts with this text...,I would appreciate feedback on whether I should wear this in public or not.,"Skip to comments.
I am thinking about ordering some custom T-shirts with this text...
August 9, 2020
 | E. Pluribus Unum
Posted on 08/09/2020 11:00:34 AM PDT by E. Pluribus Unum
I would apprecia… [+2494 chars]"
,Indiegogo.com,Andreas Zarling,Sun Aug 09 '20 Announcement from Poison Frog Husbandry,"Hi everybody,
first of all I hope you all are safe and healthy in this troubling time. Secondly, sorry for the bad communication coming through this channel! A lot of things were going on and there is some stuff I wanted to let you know:Finishing the book is …",
,Seeking Alpha,SA Transcripts,"Everbridge, Inc. (EVBG) CEO David Meredith on Q2 2020 Results - Earnings Call Transcript","Everbridge, Inc. (NASDAQ:EVBG) Q2 2020 Earnings Conference Call August 06, 2020 4:30 PM ET Company Participants Joshua Young - Vice President, Investor Relations Jaime Ellertson - Executive Chairman David Meredith - Chief Executive Officer Patrick Brickley - …","Everbridge, Inc. (NASDAQ:EVBG) Q2 2020 Earnings Conference Call August 6, 2020 4:30 PM ET
Company Participants
Joshua Young - Vice President, Investor Relations 
Jaime Ellertson - Executive Chairm… [+71769 chars]"
,The Indian Express,Express Web Desk,"Unlock 3.0, Day 9: Fireman gets emotional after rescuing Covid patient; fake N95 masks worth Rs 8.9 lakh seized",Here are some interesting stories from across the country on day 9 of Unlock 3.0.,"Corona screening in progress at a residential building in Mumbai. (Express Photo by Amit Chakravarty)With 64,399 new cases reported in the last 24 hours, the total Covid caseload in India has risen t… [+4382 chars]"
,Freerepublic.com,The Guardian,Simon Cowell breaks back falling off electric bike in California,"Simon Cowell is said to have undergone surgery after breaking his back in a fall from an electric bike in California. The music moguls spokeswoman said he was was in hospital and was doing fine. Simon had a fall from his bike, testing his new electric bik…","Skip to comments.
Simon Cowell breaks back falling off electric bike in CaliforniaThe Guardian ^
 | 08-09-2020
 | Amy Walker
Posted on 08/09/2020 9:19:47 AM PDT by NRx
Simon Cowell is said to ha… [+2438 chars]"
,FOX 5 NY,Associated Press,"No keg parties, no road trips: Colleges set rules...","No keg parties, no road trips: Colleges set rules...

 
 
 
 (Second column, 13th story, link)

 

 

 
 Related stories:Brazil surpasses 100,000 corona deaths...
Paris makes masks mandatory...
How Italy turned disaster around...
Cautiously embraces ne…","NEW YORK - As they struggle to salvage some semblance of a campus experience this fall, U.S. colleges are requiring promises from students to help contain the coronavirus — no keg parties, no long ro… [+5551 chars]"
,AllAfrica - Top Africa News,Thomson Reuters Foundation,Africa: Activists Fight Violence Against Women One Law At a Time,"[Thomson Reuters Foundation] In southern Africa, female activists are pushing for legal and societal change to protect women from domestic abuse","In southern Africa, female activists are pushing for legal and societal change to protect women from domestic abuse
Johannesburg - As a young girl growing up in northern Zimbabwe's mining community … [+5974 chars]"
,Freerepublic.com,whitehouse.gov,Remarks by President Trump in Press Briefing,"Issued on: August 8, 2020 Trump National Golf Club Bedminster, New Jersey Â  4:21 P.M. EDT THE PRESIDENT: Â Thank you very much everybody. Â Thank you, and good afternoon. Â My administration has been working around the clock in good faith to reach an agreeme…","4:21 P.M. EDT THE PRESIDENT:  Thank you very much everybody.  Thank you, and good afternoon.  My administration has been working around the clock in good faith to reach an agreement with Democrats on… [+31738 chars]"
,Seeking Alpha,SA Transcripts,Silvercrest Asset Management Group Inc. (SAMG) CEO Rick Hough on Q2 2020 Results - Earnings Call Transcript,"Silvercrest Asset Management Group Inc. (NASDAQ:SAMG) Q2 2020 Earnings Conference Call August 04, 2020 08:30 AM ET Company Participants Rick Hough - Chairman & Chief Executive Officer Scott Gerard - Chief Financial Officer Conference Call Participants Sumeet …","Silvercrest Asset Management Group Inc. (NASDAQ:SAMG) Q2 2020 Earnings Conference Call August 4, 2020 8:30 AM ET
Company Participants
Rick Hough - Chairman &amp; Chief Executive Officer
Scott Gera… [+32660 chars]"
,Israelnationalnews.com,Steve Apfel,"COVID-19 is one part public health, one part palaver",Is there nothing and nobody with a respect for science? Experts even? Op-ed.,"“Science,” wrote the philosopher Karl Popper, “begins with myths, and with criticising myths”. If you don’t start by proving an idea wrong, evolve through trial and error, and go forward to ultimate … [+7511 chars]"
,Forbes,"Pat Fitzpatrick, Contributor, Pat Fitzpatrick, Contributorhttps://www.forbes.com/sites/patfitzpatrick/",Retail Store Reopening Checklist -Post Covid,"For those small retailers who are able to financially weather this unforeseen storm, a period of re-opening and re-establishment will be at hand. You should proceed with the intent of streamlining everything within your sphere of control and employ out-of-the…",people walks pass the Karstadt department store as the final closing store sale signs are seen on ... [+] the store window as people worry about the economy. (Photo by Ying Tang/NurPhoto via Getty Im… [+6749 chars]
,Daily Mail,"By Katelyn Caralle, U.s. Political Reporter For Dailymail.com Emily Goodin, Senior U.s. Political Reporter For Dailymail.com In Bedminister, N.j.",GOP slams Trump for 'unconstitutional' action in announcing four executive orders on COVID relief,Republican allies lashed out against Donald Trump for signing four new executive orders in the midst of the coronavirus pandemic after lawmakers failed to reach a deal on a relief package.,Republican allies lashed out against Donald Trump for signing four executive orders in the midst of the coronavirus pandemic after lawmakers failed to reach a deal on a new economic relief package af… [+15561 chars]
,Globalresearch.ca,Stewart Brennan,The COVID “Second Wave” Will Tear Our Communities Apart,"When the new flu season arrives in autumn 2020, our western governments and mainstream news media are preparing to go into overdrive and declare (without evidence) that the 2nd wave of the COVID-19 pandemic is here. The fact is, they’re …
The post The COVID “…","When the new flu season arrives in autumn 2020, our western governments and mainstream news media are preparing to go into overdrive and declare (without evidence) that the 2nd wave of the COVID-19 p… [+14499 chars]"
,seattlepi.com,jim_jaillet,Signs Of The Time #79…,"Brucie here…   The motorhome is parked at Rosie’s sister’s house in Kettle Falls, Washington.   Rosie doesn’t get to be with her sister very much in person, so she was really glad to be here. Our departure is now scheduled for August 14th.   I hate this Coron…","Enjoying 65-75 degree temperatures with low humidity most of the year is a primary joy in the RVing lifestyle!
My current travel rig is a 2006 Fleetwood 26 Class A Motorhome and a towed 1986 Ford Br… [+618 chars]"
,Positivelypositive.com,From Our Community,How I Listened to My Crazy Heart,"Alone in the dark with only the catastrophic failure I meditated, wept, thought, planned and tried as hard as I could to let go. Memories, fantasies and reality both tortured and tempted me, but eventually the darkness brought revelations, reminding me that I…","My phone buzzed to life, compulsively I checked for a message from my partner. We had a huge fight earlier and now she wanted space. True to her word, it wasn’t her. Instead I read an announcement th… [+15491 chars]"
,Theeverygirl.com,The Everygirl,What It’s Like to Be a COVID Bride and How I’ve Found Peace,"Maybe COVID-19 ruining our big wedding was the plan all along. When we got engaged in September of 2018, my
The post What It’s Like to Be a COVID Bride and How I’ve Found Peace appeared first on The Everygirl.","Maybe COVID-19 ruining our big wedding was the plan all along. When we got engaged in September of 2018, my fiancé Zach and I chatted about getting married in Yosemite National Park, where we were li… [+11054 chars]"
the-hindu,The Hindu,Special Correspondent,Minister appeals to COVID-19 cured persons to donate plasma,‘Plasma bank has been established at a cost of ₹2 crore in Chennai’,"Persons who had recovered from COVID-19 should come forward to donate plasma, Health Minister C.Vijayabaskar said on Saturday.
 Plasma from people who recovered from COVID-19 would have antibodies a… [+1739 chars]"
,Vanguard,Urowayino Jeremiah,"PTI, Onuesoke foundation hold training workshop for youths","In an effort to develop and acquire extra skill to back up youths academic qualification in Delta State, Petroleum Institute (PTI) Skill Development Academy in conjunction with Onuesoke Foundation organize a two-day  free training workshop on entrepreneurship…","Onuesoke
In an effort to develop and acquire extra skill to back up youths academic qualification in Delta State, Petroleum Institute (PTI) Skill Development Academy in conjunction with Onuesoke Fou… [+2743 chars]"
,Yahoo Entertainment,Tom Kington,Hard-hit Italy cautiously embraces new normal...,"Hard-hit Italy cautiously embraces new normal...

 
 
 
 (Second column, 11th story, link)

 

 

 
 Related stories:Brazil surpasses 100,000 corona deaths...
Paris makes masks mandatory...
AMERICA SICK MAP...
WORLD SICK MAP...","With tourists still absent and office workers continuing to toil from home more than two months after Italy's strict coronavirus lockdown ended, few were out and about on Rome's central Via del Corso… [+6125 chars]"
,Independent.ie,Hugh O'Connell,Revealed: civil servant queried reopening delay,"One of the country's most senior civil servants repeatedly warned that the roadmap for reopening Ireland was too slow and questioned the rationale behind the nationwide lockdown earlier this year, the Sunday Independent can reveal.","One of the country's most senior civil servants repeatedly warned that the roadmap for reopening Ireland was too slow and questioned the rationale behind the nationwide lockdown earlier this year, th… [+8871 chars]"
,Independent.ie,Maeve Sheehan,'Final straw' - adviser quits corona group over rise in cases,A public safety advocate has resigned from the Expert Advisory Group (EAG) on Covid-19 in frustration at the failure to intercept the latest wave of Covid-19 cases.,A public safety advocate has resigned from the Expert Advisory Group (EAG) on Covid-19 in frustration at the failure to intercept the latest wave of Covid-19 cases.Damien Nee told the Sunday Independ… [+5192 chars]
,Independent.ie,Maeve Sheehan,Adviser quits corona group over rise in cases,A public safety advocate has resigned from the Expert Advisory Group (EAG) on Covid-19 in frustration at the failure to intercept the latest wave of Covid-19 cases.,A public safety advocate has resigned from the Expert Advisory Group (EAG) on Covid-19 in frustration at the failure to intercept the latest wave of Covid-19 cases.Damien Nee told the Sunday Independ… [+5192 chars]
,Daily Mail,By Dr Ellie Cannon for The Mail on Sunday,DR ELLIE CANNON: It is time to give young people back their freedom,DR ELLIE CANNON argues it is now time to grant young people greater Covid-19 freedom - even if it means people such as her - aged 43 - should face additional restrictions due to coronavirus.,"Among the many suggestions floated about how to curb the rising number of corona cases, one has sparked particular outrage that lockdown should be reinstated for the over-50s.
Older Britons would on… [+7781 chars]"
,MMA Fighting,Guilherme Cruz,Roberto Satoshi still worried about RIZIN’s future with possible second COVID-19 wave in Japan,Roberto Satoshi headlines RIZIN 22 against Japanese veteran Yusuke Yachi on Aug. 9.,"Roberto Satoshi headlines RIZIN 22 against Japanese veteran Yusuke Yachi on Aug. 9. | Photo via RIZIN FF

 Brazilian lightweight Roberto Satoshi did not feel the effects of the COVID-19 pandemic at f… [+4876 chars]"
,DW (English),Deutsche Welle (www.dw.com),Germany: Mandatory coronavirus testing at airports off to smooth start,"Operators of airport testing centers across the country reported minimal wait times and ample supplies. Meanwhile, EU members Romania and Bulgaria were added to Germany's list of high-risk countries. Germany's coronavirus testing requirement for travelers fly…","Germany's coronavirus testing requirement for travelers flying in from high-risk countries came into force with few complications on Saturday.
Coronavirus testing booth operators at Germany's larges… [+22322 chars]"
the-times-of-india,The Times of India,Mumbai Mirror,Mumbai: In memory of our police heroes,Mirror pays tribute to the 56 personnel from Mumbai who lost their lives fighting Covid-19.,"Team MirrorMirror pays tribute to the 56 personnel from Mumbai who lost their lives fighting Covid-19.With a force strength of just 40,000, it is never easy to keep an eye out for 1.3 crore people in… [+38693 chars]"
,seattlepi.com,jim_jaillet,Videos Of The Time #29…,"Brucie here…   Here are crucial videos for you to watch if you care about your safety in the very near future!!!   If you are still waiting for a Corona Virus Vaccine, perhaps these videos will give you something to think about before complying!   The motorho…","Brucie here
Here are crucial videos for you to watch if you care about your safety in the very near future!!!
If you are still waiting for a Corona Virus Vaccine, perhaps these videos will give you… [+3136 chars]"
,The Indian Express,Bloomberg,Crowded villages show why Covid-19 cases are surging in rural India,"In the remote Valad village in the southern state of Kerala, 236 people have been found positive in the last two weeks. In Katapali village in eastern Odisha, nearly 200 people were infected and the area locked down for almost 50 days before the outbreak was …","By: Bloomberg | 
Published: August 8, 2020 10:22:46 pm
Corona screening in progress at a residential building in Mumbai on Monday. (Express Photo by Amit Chakravarty)As India passes the grim milest… [+4427 chars]"
,Slashdot.org,giantsvs49ers,Watch Here upcoming attractive extrem momentous Hottest NFL Giants vs 49ers Live,"NFL Giants vs 49ers live stream free match starts on Sunday September 27,2020 on MetLife Stadium East Rutherford,NJ.Fans and Friends, Get ready to Watch Here upcoming attractive extrem momentous Hottest NFL Giants vs 49ers Live stream Free Online with us. Wat…",The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.
the-times-of-india,The Times of India,Sharmeen Hakim,"HC questions medical reports of Teltumbde, Raut","HC seeks explanation after Taloja jail’s medical reports say they are also identical in height, weight.","HC seeks explanation after Taloja jails medical reports say they are also identical in height, weight.The Bombay High Court
 has sought an explanation from Taloja Prison
 officials following revela… [+2424 chars]"
,Haaretz,Reuters,Gaza schools reopen after five months as few coronavirus cases reported,"With only 78 cases infections recorded in Strip, all in quarantine centers, classes resume in person, with plans in place in case of spike",Hundreds of thousands of children walked through the streets of the Gaza Strip on Saturday to return to classes after five months of shutdown – though authorities said they were ready to close school… [+2107 chars]
vice-news,Vice News,"Angad Singh, Courtney Brooks",Why Modi Inaugurated a Temple Being Built Over a Razed Mosque on the Kashmir Crackdown Anniversary,The construction of the Ram Mandir over the Babri Masjid is a major milestone for the prime minister's Hindu nationalist agenda.,"AYODHYA, India On Dec. 6, 1992, a horde of Hindu zealots razed a mosque in the holy city of Ayodhya. Early the next morning, about 300 men showed up at Imran Azars house. The mob broke in, dragged hi… [+3908 chars]"
,Global News,"John Gradek, McGill University",COMMENTARY: How COVID-19 will impact future travel,John Gradek of McGill reviews how travel might be different as the world deals with the aftermath of the COVID-19 pandemic.,"In late 2019, the International Air Transport Association (IATA) published its Economic Performance of the Airline Industry report. It contained a 2020 forecast of 4.1 per cent growth in global air t… [+6182 chars]"
the-hindu,The Hindu,Srinivasa Ramanujam,Corona crooners: Tamil ‘gaana’ and folk performers spread COVID-19 awareness with music,"With catchy beats and quirky lyrics, these Tamil folk songs spell out COVID-19 health guidelines and thank essential workers","Pallavaram-based Sudhakar calls himself Gaana Sudhakar in his music videos. He has been doing them for a few years now, taking on popular subjects and experimenting with gaana-based songs on them.
W… [+3046 chars]"
,seattlepi.com,jim_jaillet,Signs Of The Time #78…,"Brucie here…   The motorhome is parked at Rosie’s sister’s house in Kettle Falls, Washington.   Rosie doesn’t get to be with her sister very much in person, so she was really glad to be here. Our departure is now scheduled for August 14th.   I hate this Coron…","Enjoying 65-75 degree temperatures with low humidity most of the year is a primary joy in the RVing lifestyle!
My current travel rig is a 2006 Fleetwood 26 Class A Motorhome and a towed 1986 Ford Br… [+618 chars]"
,Santabanta.com,,Abhishek Bachchan just beat this deadly enemy! shares victory picture,"Abhishek Bachchan has spent nearly one month after getting diagnosed with Coronavirus at Nanavati Hospital, Mumbai...","Abhishek Bachchan has spent nearly one month after getting diagnosed with Coronavirus at Nanavati Hospital, Mumbai. On August 5th, Abhishek Bachchan shared a medical chart board for Day 26th on socia… [+1270 chars]"
,City A.M.,Life&Style Writer,Back to Business: Jack and Charlie Stein on coming together as a family amid the corona crisis,"We talk to top chefs and restaurateurs about how they are dealing with the strange ‘new normal’. Rick Stein restaurants’
The post Back to Business: Jack and Charlie Stein on coming together as a family amid the corona crisis appeared first on CityAM.",We talk to top chefs and restaurateurs about how they are dealing with the strange new normal. Rick Stein restaurants’ Jack and Charlie Stein talk about the relief of seeing cutsomers again and why t… [+4183 chars]
,Profgalloway.com,"feedback@businessinsider.com (Scott Galloway), Scott Galloway","Our nation has never been less American than in 2020, when 'freedom' is used as an excuse to ignore the common good, says NYU professor Scott Galloway","BRENDAN SMIALOWSKI/AFP via Getty Image
<ul>
<li>Scott Galloway is a bestselling author and professor of marketing at NYU Stern.</li>
<li>The following is his recent blog post, republished with permission. It originally ran on his blog, ""No Mercy / No Malice.""…","America's involvement in WWII lasted three years and nine months, and 405,399 Americans perished (297 per day). US forces have been fighting in Afghanistan for 19 years, and we've lost 2,285 service … [+10948 chars]"
,Seeking Alpha,SA Transcripts,"Innovative Solutions and Support, Inc. (ISSC) CEO Geoffrey Hedrick on Q3 2020 Results - Earnings Call Transcript","Innovative Solutions and Support, Inc. (NASDAQ:ISSC) Q3 2020 Earnings Conference Call August 06, 2020, 10:00 ET Company Participants Relland Winand - Company Secretary & CFO Shahram Askarpour - President Geoffrey Hedrick - Founder, Chairman & CEO Conference C…","Innovative Solutions and Support, Inc. (NASDAQ:ISSC) Q3 2020 Earnings Conference Call August 6, 2020 10:00 AM ET
Company Participants
Relland Winand - Company Secretary &amp; CFO
Shahram Askarpour… [+59358 chars]"
,CNA,CNA,Children walk back to school in Gaza after five-month shutdown,Hundreds of thousands of children walked through the streets of the Gaza Strip on Saturday to return to classes after five months of shutdown - though authorities said they were ready to close schools again if coronavirus cases spike.,"JABALIA, Gaza Strip: Hundreds of thousands of children walked through the streets of the Gaza Strip on Saturday (Aug 8) to return to classes after five months of shutdown: Though authorities said the… [+1881 chars]"
,Vox,Emily Mendenhall,How an Iowa summer resort region became a Covid-19 hot spot,A medical anthropologist on why the coronavirus response is so controversial in her hometown.,"A party on Lake Okoboji in the Great Lakes region of Iowa over July Fourth weekend.


 A medical anthropologist on why the coronavirus response is so controversial in her hometown. ARNOLDS PARK, Iowa… [+9444 chars]"
,The Fayetteville Observer,"Michael Futch, The Fayetteville Observer",New businesses 'ready to ride the roller coaster' - The Fayetteville Observer,The Downtown Deli is among a handful of new restaurants and businesses that opened for the first time during the throes of the coronavirus pandemic.,"When owner Yousof Alrobye opened the Downtown Deli, he knew he was taking a big financial risk.
The deli, located on Hay Street near the Market House, began serving in mid-June. The coronavirus alre… [+7150 chars]"
,Nakedcapitalism.com,Yves Smith,Links 8/8/2020,"Our popular links: naked boar chase, Canada melt, new China virus, no US stimulus, vaccine rush alarms, school opening debate, Lebanon aftermath, US meddling abroad, massive US citizen spying, Facebook purges QAnon, Susan Rice worries, Musk a jerk again","You swine! German nudist chases wild boar that stole laptop Guardian (resilc)
Genomic Study Reveals New Zealand’s Tuatara Is Like No Other Animal on The Planet ScienceAlert (Kevin W)
Canadas Last F… [+6041 chars]"
,The Star Online,Nidal al-Mughrabi,Children walk back to school in Gaza after five-month shutdown,"JABALIA, Gaza Strip (Reuters) - Hundreds of thousands of children walked through the streets of the Gaza Strip on Saturday to return to classes after five months of shutdown - though authorities said they were ready to close schools again if coronavirus cases…","JABALIA, Gaza Strip (Reuters) - Hundreds of thousands of children walked through the streets of the Gaza Strip on Saturday to return to classes after five months of shutdown - though authorities said… [+1755 chars]"
the-times-of-india,The Times of India,ET Auto,Opinion: Road ahead for Indian auto industry - Short term vis-à-vis long term recovery - ETAuto.com,"<ol><li>Opinion: Road ahead for Indian auto industry - Short term vis-à-vis long term recovery  ETAuto.com
</li><li>Govt will have to increase import duty on products to boost domestic industry: Nitin Gadkari  Times Now
</li><li>Gadkari exhorts industry to …","Across all major two-wheeler manufacturers except Honda 2 Wheelers, numbers saw a bullish trend in Month on Month (MoM) growth rates indicating a ray of hope for a better future.
By Sandesh Dholakia… [+5452 chars]"
reuters,Reuters,Nidal al-Mughrabi,Children walk back to school in Gaza after five-month shutdown,Hundreds of thousands of children walked through the streets of the Gaza Strip on Saturday to return to classes after five months of shutdown - though authorities said they were ready to close schools again if coronavirus cases spike.,"JABALIA, Gaza Strip (Reuters) - Hundreds of thousands of children walked through the streets of the Gaza Strip on Saturday to return to classes after five months of shutdown - though authorities said… [+1758 chars]"
reuters,Reuters,Nidal al-Mughrabi,Children walk back to school in Gaza after five-month shutdown,Hundreds of thousands of children walked through the streets of the Gaza Strip on Saturday to return to classes after five months of shutdown - though authorities said they were ready to close schools again if coronavirus cases spike.',"JABALIA, Gaza Strip (Reuters) - Hundreds of thousands of children walked through the streets of the Gaza Strip on Saturday to return to classes after five months of shutdown - though authorities said… [+1758 chars]"
,The Indian Express,Express Web Desk,"India Coronavirus Updates, 08 August: Centre asks states to test grocery shop workers, vendors; Complete lockdown imposed in Bengal today","Coronavirus India Updates:  Over 900 people succumbed to the infection since yesterday, bringing the death toll to 42,518.","As many as 5,98,778 samples were tested yesterday, bringing the total number of COVID-19 tests conducted since the onset of the pandemic to 2.3 crore (2,33,87,171), ICMR data showed. (Express Photo b… [+7432 chars]"
